label,region,R,G,B,A
214,molecular_layer_HP,0.5,0.0,0.0,1
215,hippocampal_fissure,0.5,0.125,0.99609375,1
216,entorhinal_cortex,0.99609375,0.796875,0.3984375,1
217,molecular_layer_subiculum,0.5,0.5,0.5,1
218,Amygdala,0.40625,0.99609375,0.99609375,1
219,Cerebral_White_Matter,0.0,0.8828125,0.0,1
220,Cerebral_Cortex,0.80078125,0.24609375,0.3046875,1
221,Inf_Lat_Vent,0.76953125,0.2265625,0.9765625,1
222,Perirhinal,0.12890625,0.5859375,0.9765625,1
223,Cerebral_White_Matter_Edge,0.8828125,0.0,0.0,1
224,Background,0.390625,0.390625,0.390625,1
225,Ectorhinal,0.76953125,0.5859375,0.9765625,1
226,HP_tail,0.6640625,0.6640625,0.99609375,1
227,Polymorphic-Layer,0.5,0.99609375,0.5,1
228,Intracellular-Space,0.796875,0.59765625,0.796875,1
231,HP_body,0.0,0.99609375,0.0,1
232,HP_head,0.99609375,0.0,0.0,1
233,presubiculum-head,0.125,0.0,0.125,1
234,presubiculum-body,0.25,0.0,0.25,1
235,subiculum-head,0.0,0.0,0.68359375,1
236,subiculum-body,0.0,0.0,0.99609375,1
237,CA1-head,0.68359375,0.29296875,0.29296875,1
238,CA1-body,0.99609375,0.0,0.0,1
239,CA3-head,0.0,0.3125,0.0,1
240,CA3-body,0.0,0.5,0.0,1
241,CA4-head,0.46875,0.3515625,0.1953125,1
242,CA4-body,0.765625,0.625,0.5,1
243,GC-ML-DG-head,0.29296875,0.48828125,0.68359375,1
244,GC-ML-DG-body,0.125,0.78125,0.99609375,1
245,molecular_layer_HP-head,0.390625,0.09765625,0.09765625,1
246,molecular_layer_HP-body,0.5,0.0,0.0,1
247,FreezeSurface,0.0390625,0.390625,0.390625,1
250,Fornix,0.99609375,0.0,0.0,1
251,CC_Posterior,0.0,0.0,0.25,1
252,CC_Mid_Posterior,0.0,0.0,0.4375,1
253,CC_Central,0.0,0.0,0.625,1
254,CC_Mid_Anterior,0.0,0.0,0.8125,1
255,CC_Anterior,0.0,0.0,0.99609375,1
256,Voxel-Unchanged,0.0,0.0,0.0,0
257,CSF-ExtraCerebral,0.234375,0.234375,0.234375,1
258,Head-ExtraCerebral,0.5859375,0.5859375,0.78125,1
259,Eye-Fluid,0.234375,0.234375,0.234375,1
260,BoneOrAir,0.46484375,0.62109375,0.6875,1
261,PossibleFluid,0.46875,0.0703125,0.5234375,1
262,Sinus,0.765625,0.625,0.5,1
263,Left-Eustachian,0.46484375,0.62109375,0.6875,1
